product Name,price
فوجي فيلم انستاكس ميني 9 فيلم كاميرا فورية، ابيض مع مجموعة من 10 اوراق فوجي فيلم ميني  ,فوجي فيلم انستاكس ميني 9 فيلم كاميرا فورية، ابيض مع مجموعة من 10 اوراق فوجي فيلم ميني
كاميرا IP داخلية سي 6 ان من ايزفيز بمحرك ودقة 2 كيه و4MP ورؤية 360 درجة وميزة الكشف عن الحركة والرؤية الليلية حتى 10 متر بالاضافة لتطبيق موبايل  ,كاميرا IP داخلية سي 6 ان من ايزفيز بمحرك ودقة 2 كيه و4MP ورؤية 360 درجة وميزة الكشف عن الحركة والرؤية الليلية حتى 10 متر بالاضافة لتطبيق موبايل
غطاء كاميرا اي او اس M50 مارك 2 من كانون (24.1 ميجابيكسل، شاشة LCD تعمل باللمس 7.5 سم، WLAN، منفذ HDMI، بلوتوث، APS-C نظام بيكسل دوال CMOS ضبط التركيز التلقائي، كشف العين، ديجيك 8، فيديو 4K،OLED EVF)  ,غطاء كاميرا اي او اس M50 مارك 2 من كانون (24.1 ميجابيكسل، شاشة LCD تعمل باللمس 7.5 سم، WLAN، منفذ HDMI، بلوتوث، APS-C نظام بيكسل دوال CMOS ضبط التركيز التلقائي، كشف العين، ديجيك 8، فيديو 4K،OLED EVF)
كاميرا خارجية تربو HD عالية الدقة مع ميكروفون مدمج DS-2CE16H0T-ITPFS من هايكفيجن 5MP  ,كاميرا خارجية تربو HD عالية الدقة مع ميكروفون مدمج DS-2CE16H0T-ITPFS من هايكفيجن 5MP
كاميرا فيديو مايكرو ميني لكاميرا الويب للاستخدام اثناء ممارسة رياضة ركوب الدراجات  ,كاميرا فيديو مايكرو ميني لكاميرا الويب للاستخدام اثناء ممارسة رياضة ركوب الدراجات
شاشة ال سي دي قياس 5 انش ومثبتة على لوحة العدادات مع كاميرا لعرض ومساندة عملية الرجع والاصفاف التلقائي للمركبة  ,شاشة ال سي دي قياس 5 انش ومثبتة على لوحة العدادات مع كاميرا لعرض ومساندة عملية الرجع والاصفاف التلقائي للمركبة
ميكروفون فيديو بندقية مدمج علي الكاميرا، يوتيوب، مدونات، فيسبوك، البث المباشر، التسجيل، ميكروفون لايفون، هواوي، دي جيه اي، اوسمو موبايل بلس، لكاميرات كانون، نيكون، سوني، ودي اس ال ار من بويا BY-MM1  ,ميكروفون فيديو بندقية مدمج علي الكاميرا، يوتيوب، مدونات، فيسبوك، البث المباشر، التسجيل، ميكروفون لايفون، هواوي، دي جيه اي، اوسمو موبايل بلس، لكاميرات كانون، نيكون، سوني، ودي اس ال ار من بويا BY-MM1
الأخطبوط كاميرا ترايبود  ,الأخطبوط كاميرا ترايبود
نيكون AF-P DX نيكور 70-300 مم f/4.5-6.3G عدسات اي دي في ار لكاميرات نيكون دي اس ال ار  ,نيكون AF-P DX نيكور 70-300 مم f/4.5-6.3G عدسات اي دي في ار لكاميرات نيكون دي اس ال ار
كاميرا DS-2CD1623G0-IZ (2.8-12 ملم) من هيكفيجن  ,كاميرا DS-2CD1623G0-IZ (2.8-12 ملم) من هيكفيجن
كاميرا مراقبة توريت داخلية ثابتة 2 ميجابيكسل DS-2CE76D0T-EXIPF  ,كاميرا مراقبة توريت داخلية ثابتة 2 ميجابيكسل DS-2CE76D0T-EXIPF
كاميرا مراقبة خارجية C8PF ايزفيز، ميزتها ساكنة/مائلة/ زووم وواي فاي 1080 بيكسل، تقريب ×8 بمختلف انماط التقريب، تكشف الاشخاص وتعمل بالذكاء الاصطناعي ومقاومة للماء 65، تدعم ميكرو اس دي حتى 512 جيجابايت  ,كاميرا مراقبة خارجية C8PF ايزفيز، ميزتها ساكنة/مائلة/ زووم وواي فاي 1080 بيكسل، تقريب ×8 بمختلف انماط التقريب، تكشف الاشخاص وتعمل بالذكاء الاصطناعي ومقاومة للماء 65، تدعم ميكرو اس دي حتى 512 جيجابايت
كاميرا Z6 غير عاكسة بصيغة اف اكس مع عدسة نيكور زد 24-70 ملم f/4 S من نيكون  ,كاميرا Z6 غير عاكسة بصيغة اف اكس مع عدسة نيكور زد 24-70 ملم f/4 S من نيكون
واقي عدسات كاميرا من كلاود فالي لموبايل ايفون 12/12 ميني / 11، طبقة من الزجاج المقوى، غطاء شاشة من خليط الالومنيوم، قطعتين باللون الاسود، مع مجموعة تنظيف  ,واقي عدسات كاميرا من كلاود فالي لموبايل ايفون 12/12 ميني / 11، طبقة من الزجاج المقوى، غطاء شاشة من خليط الالومنيوم، قطعتين باللون الاسود، مع مجموعة تنظيف
عدسة AF-P DX نيكور 70-300 ملم بفتحة عدسة F/4.5-6.3 جي عدسات اي دي من نيكون للكاميرات دي اس ال ار  ,عدسة AF-P DX نيكور 70-300 ملم بفتحة عدسة F/4.5-6.3 جي عدسات اي دي من نيكون للكاميرات دي اس ال ار
كاميرا فيديو ويب باناكاست ذكية 4K بانورامية بزاوية 180 درجة شاملة لغرفة الاجتماعات والمؤتمرات مع تغطية كاملة للغرفة، سهلة التركيب بزاوية واسعة مناسبة للاعمال والتعلم عن بعد من جابرا  ,كاميرا فيديو ويب باناكاست ذكية 4K بانورامية بزاوية 180 درجة شاملة لغرفة الاجتماعات والمؤتمرات مع تغطية كاملة للغرفة، سهلة التركيب بزاوية واسعة مناسبة للاعمال والتعلم عن بعد من جابرا
مراة بشاشة وعارض كاميرا لخلفية للسيارة تعمل عبر بلوتوث وبتقنية ام بي 5، يتم التحكم بها عبر هاتف اندرويد وخاصية التحكم على الشاشة، مقاس 7.2 انش  ,مراة بشاشة وعارض كاميرا لخلفية للسيارة تعمل عبر بلوتوث وبتقنية ام بي 5، يتم التحكم بها عبر هاتف اندرويد وخاصية التحكم على الشاشة، مقاس 7.2 انش
عدسة تليسكوب للهواتف المحمولة ، تقريب 12x للكاميرا والهاتف المحمول - ابيض اسود  ,عدسة تليسكوب للهواتف المحمولة ، تقريب 12x للكاميرا والهاتف المحمول - ابيض اسود
محول عدسة VILTROX EF-E5 محول تثبيت عدسة التركيز التلقائي من أجل عدسة Canon EF - EF-S إلى كاميرات Sony E-Mount بدون مرآة A7R3 A7M3 حلقة محول ضبط تلقائي للصورة مع شاشة OLED الذكية  ,محول عدسة VILTROX EF-E5 محول تثبيت عدسة التركيز التلقائي من أجل عدسة Canon EF - EF-S إلى كاميرات Sony E-Mount بدون مرآة A7R3 A7M3 حلقة محول ضبط تلقائي للصورة مع شاشة OLED الذكية
